Date,Price,Open,High,Low,Chg. %,
01/03/2024,0.00003398,0.00001260,0.00004556,0.00001246,170.54%,
01/02/2024,0.00001256,0.00000894,0.00001465,0.00000879,40.49%,
01/01/2024,0.00000894,0.00001034,0.00001091,0.00000845,-13.71%,
01/12/2023,0.00001036,0.00000830,0.00001191,0.00000825,24.82%,
01/11/2023,0.00000830,0.00000778,0.00000960,0.00000758,6.55%,
01/10/2023,0.00000779,0.00000733,0.00000824,0.00000663,6.28%,
01/09/2023,0.00000733,0.00000799,0.00000805,0.00000697,-8.26%,
01/08/2023,0.00000799,0.00000845,0.00001129,0.00000728,-5.56%,
01/07/2023,0.00000846,0.00000756,0.00000878,0.00000709,11.90%,
01/06/2023,0.00000756,0.00000854,0.00000876,0.00000551,-11.89%,
01/05/2023,0.00000858,0.00001005,0.00001019,0.00000831,-14.88%,
01/04/2023,0.00001008,0.00001085,0.00001187,0.00000980,-7.01%,
01/03/2023,0.00001084,0.00001201,0.00001243,0.00000968,-9.82%,
01/02/2023,0.00001202,0.00001181,0.00001573,0.00001131,1.78%,
01/01/2023,0.00001181,0.00000808,0.00001292,0.00000800,46.34%,
01/12/2022,0.00000807,0.00000935,0.00001011,0.00000784,-13.69%,
01/11/2022,0.00000935,0.00001244,0.00001353,0.00000826,-24.84%,
01/10/2022,0.00001244,0.00001131,0.00001511,0.00000928,9.99%,
01/09/2022,0.00001131,0.00001211,0.00001388,0.00001006,-6.53%,
01/08/2022,0.00001210,0.00001168,0.00001786,0.00001148,3.42%,
01/07/2022,0.00001170,0.00001029,0.00001309,0.00000979,13.04%,
01/06/2022,0.00001035,0.00001173,0.00001206,0.00000716,-11.76%,
01/05/2022,0.00001173,0.00002014,0.00002209,0.00000913,-41.82%,
01/04/2022,0.00002016,0.00002584,0.00002993,0.00001857,-22.01%,
01/03/2022,0.00002585,0.00002583,0.00002958,0.00002123,0.23%,
01/02/2022,0.00002579,0.00002141,0.00003518,0.00002016,20.35%,
01/01/2022,0.00002143,0.00003343,0.00003444,0.00001715,-35.80%,
01/12/2021,0.00003338,0.00004746,0.00004866,0.00002829,-29.47%,
01/11/2021,0.00004733,0.00006712,0.00007490,0.00003593,-29.32%,
01/10/2021,0.00006696,0.00000721,0.00008840,0.00000716,828.71%,
01/09/2021,0.00000721,0.00000686,0.00000947,0.00000513,5.26%,
01/08/2021,0.00000685,0.00000625,0.00000947,0.00000611,9.60%,
01/07/2021,0.00000625,0.00000882,0.00000908,0.00000571,-29.22%,
01/06/2021,0.00000883,0.00000919,0.00001002,0.00000571,-4.85%,
Open:0.00000919,Highest:0.00008840,Lowest:0.00000513,Chg. %:266.16%,
